"Season","Competition","Matchday","Date","Venue","Club","Opponent","Result","Playing_Position","Minute","At_score","Type","Goal_assist"
"16/17","liga","1","2016-08-20 00:00:00","h","barca","real betis balompie","6:02","rw","58","5:01","left-footed shot","Arda Turan"
"16/17","uefa champions league","group stage","2016-09-13 00:00:00","h","barca","celtic fc","7:00","rw","3","1:00","left-footed shot","Neymar"
"16/17","uefa champions league","group stage","2016-09-13 00:00:00","h","barca","celtic fc","7:00","rw","27","2:00","left-footed shot","Neymar"
"16/17","uefa champions league","group stage","2016-09-13 00:00:00","h","barca","celtic fc","7:00","rw","60","5:00","left-footed shot","Luis Suarez"
"16/17","liga","4","2016-09-17 00:00:00","a","barca","cd leganes","1:05","rw","15","0:01","left-footed shot","Luis Suarez"
"16/17","liga","8","2016-10-15 00:00:00","h","barca","deportivo de la coruaa","4:00","rw","58","4:00","left-footed shot","Neymar"
"16/17","uefa champions league","group stage","2016-10-19 00:00:00","h","barca","manchester city","4:00","rw","17","1:00","left-footed shot","Andres Iniesta"
"16/17","uefa champions league","group stage","2016-10-19 00:00:00","h","barca","manchester city","4:00","rw","61","2:00","left-footed shot","Andres Iniesta"
"16/17","uefa champions league","group stage","2016-10-19 00:00:00","h","barca","manchester city","4:00","rw","69","3:00","left-footed shot","Luis Suarez"
"16/17","liga","9","2016-10-22 00:00:00","a","barca","valencia cf","2:03","rw","22","0:01","left-footed shot","Ivan Rakitic"
"16/17","uefa champions league","group stage","2016-01-11 00:00:00","a","barca","manchester city","3:01","rw","21","0:01","left-footed shot","Neymar"
"16/17","liga","11","2016-06-11 00:00:00","a","barca","sevilla fc","1:02","rw","43","1:01","left-footed shot","Neymar"
"16/17","uefa champions league","group stage","2016-11-23 00:00:00","a","barca","celtic fc","0:02","rw","24","0:01","left-footed shot","Neymar"
"16/17","liga","13","2016-11-27 00:00:00","a","barca","real sociedad","1:01","rw","59","1:01","left-footed shot","Neymar"
"16/17","uefa champions league","group stage","2016-06-12 00:00:00","h","barca","borussia mã¶nchengladbach","4:00","rw","16","1:00","left-footed shot","Arda Turan"
"16/17","liga","15","2016-10-12 00:00:00","a","barca","ca osasuna","0:03","rw","72","0:02","left-footed shot","Jordi Alba"
"16/17","liga","15","2016-10-12 00:00:00","a","barca","ca osasuna","0:03","rw","0","0:03","left-footed shot","Sergio Busquets"
"16/17","liga","16","2016-12-18 00:00:00","h","barca","rcd espanyol barcelona","4:01","rw","90","4:01","left-footed shot","Luis Suarez"
"16/17","liga","19","2017-01-22 00:00:00","a","barca","sd eibar","0:04","rw","50","0:02","left-footed shot","Luis Suarez"
"16/17","copa del rey","semi-finals","2017-01-02 00:00:00","a","barca","atletico de madrid","1:02","rw","33","0:02","left-footed shot","Ivan Rakitic"
"16/17","liga","22","2017-11-02 00:00:00","a","barca","deportivo alaves","0:06","rw","59","0:03","left-footed shot","Neymar"
"16/17","liga","23","2017-02-19 00:00:00","h","barca","cd leganes","2:01","rw","4","1:00","right-footed shot","Luis Suarez"
"16/17","liga","25","2017-01-03 00:00:00","h","barca","sporting gijã³n","6:01","rw","9","1:00","header","Javier Mascherano"
"16/17","liga","26","2017-04-03 00:00:00","h","barca","celta de vigo","5:00","am","24","1:00","left-footed shot","Sergio Busquets"
"16/17","liga","28","2017-03-19 00:00:00","h","barca","valencia cf","4:02","am","53","3:02","right-footed shot","Javier Mascherano"
"16/17","liga","30","2017-05-04 00:00:00","h","barca","sevilla fc","3:00","rw","28","2:00","right-footed shot","Luis Suarez"
"16/17","liga","32","2017-04-15 00:00:00","h","barca","real sociedad","3:02","rw","17","1:00","left-footed shot","Luis Suarez"
"16/17","liga","33","2017-04-23 00:00:00","a","barca","real madrid","2:03","rw","33","1:01","left-footed shot","Ivan Rakitic"
"16/17","liga","33","2017-04-23 00:00:00","a","barca","real madrid","2:03","rw","0","2:03","left-footed shot","Jordi Alba"
"16/17","liga","34","2017-04-26 00:00:00","h","barca","ca osasuna","7:01","am","61","4:01","left-footed shot","Ivan Rakitic"
"16/17","liga","36","2017-06-05 00:00:00","h","barca","villarreal cf","4:01","rw","45","2:01","left-footed shot","Sergio Busquets"
"16/17","copa del rey","final","2017-05-27 00:00:00","h","barca","deportivo alaves","3:01","rw","30","1:00","left-footed shot","Neymar"
"17/18","liga","2","2017-08-26 00:00:00","a","barca","deportivo alaves","0:02","cf","55","0:01","left-footed shot","Jordi Alba"
"17/18","liga","2","2017-08-26 00:00:00","a","barca","deportivo alaves","0:02","cf","66","0:02","left-footed shot","Paco Alcacer"
"17/18","liga","3","2017-09-09 00:00:00","h","barca","rcd espanyol barcelona","5:00","cf","26","1:00","left-footed shot","Ivan Rakitic"
"17/18","liga","3","2017-09-09 00:00:00","h","barca","rcd espanyol barcelona","5:00","cf","35","2:00","right-footed shot","Jordi Alba"
"17/18","liga","3","2017-09-09 00:00:00","h","barca","rcd espanyol barcelona","5:00","cf","67","3:00","left-footed shot","Jordi Alba"
"17/18","uefa champions league","group stage","2017-12-09 00:00:00","h","barca","juventus fc","3:00","cf","45","1:00","left-footed shot","Luis Suarez"
"17/18","liga","5","2017-09-19 00:00:00","h","barca","sd eibar","6:01","cf","59","4:01","left-footed shot","Sergio Busquets"
"17/18","liga","5","2017-09-19 00:00:00","h","barca","sd eibar","6:01","cf","62","5:01","left-footed shot","Paulinho"
"17/18","liga","5","2017-09-19 00:00:00","h","barca","sd eibar","6:01","cf","87","6:01","left-footed shot","Aleix Vidal"
"17/18","liga","7","2017-01-10 00:00:00","h","barca","ud las palmas","3:00","ss","70","2:00","left-footed shot","Denis Suarez"
"17/18","liga","7","2017-01-10 00:00:00","h","barca","ud las palmas","3:00","ss","77","3:00","left-footed shot","Luis Suarez"
"17/18","liga","10","2017-10-28 00:00:00","a","barca","athletic bilbao","0:02","ss","37","0:01","left-footed shot","Jordi Alba"
"17/18","liga","14","2017-02-12 00:00:00","h","barca","celta de vigo","2:02","ss","22","1:01","left-footed shot","Paulinho"
"17/18","liga","15","2017-10-12 00:00:00","a","barca","villarreal cf","0:02","rw","83","0:02","left-footed shot","Sergio Busquets"
"17/18","liga","18","2018-07-01 00:00:00","h","barca","levante ud","3:00","ss","12","1:00","left-footed shot","Jordi Alba"
"17/18","copa del rey","last 16","2018-11-01 00:00:00","h","barca","celta de vigo","5:00","ss","13","1:00","left-footed shot","Jordi Alba"
"17/18","copa del rey","last 16","2018-11-01 00:00:00","h","barca","celta de vigo","5:00","ss","15","2:00","left-footed shot","Jordi Alba"
"17/18","liga","20","2018-01-21 00:00:00","a","barca","real betis balompie","0:05","ss","64","0:02","left-footed shot","Sergio Busquets"
"17/18","liga","20","2018-01-21 00:00:00","a","barca","real betis balompie","0:05","ss","80","0:04","left-footed shot","Luis Suarez"
"17/18","uefa champions league","last 16","2018-02-20 00:00:00","a","barca","chelsea fc","1:01","ss","75","1:01","left-footed shot","Andres Iniesta"
"17/18","liga","25","2018-02-24 00:00:00","h","barca","girona fc","6:01","ss","30","2:01","left-footed shot","Luis Suarez"
"17/18","uefa champions league","last 16","2018-03-14 00:00:00","h","barca","chelsea fc","3:00","ss","3","1:00","right-footed shot","Luis Suarez"
"17/18","uefa champions league","last 16","2018-03-14 00:00:00","h","barca","chelsea fc","3:00","ss","63","3:00","left-footed shot","Luis Suarez"
"17/18","liga","29","2018-03-18 00:00:00","h","barca","athletic bilbao","2:00","ss","30","2:00","left-footed shot","Ousmane Dembele"
"17/18","liga","30","2018-03-31 00:00:00","a","barca","sevilla fc","2:02","rw","89","2:02","left-footed shot","Philippe Coutinho"
"17/18","liga","31","2018-07-04 00:00:00","h","barca","cd leganes","3:01","ss","32","2:00","left-footed shot","Philippe Coutinho"
"17/18","liga","31","2018-07-04 00:00:00","h","barca","cd leganes","3:01","ss","87","3:01","left-footed shot","Ousmane Dembele"
"17/18","copa del rey","final","2018-04-21 00:00:00","a","barca","sevilla fc","0:05","ss","31","0:02","left-footed shot","Jordi Alba"
"17/18","liga","35","2018-04-29 00:00:00","a","barca","deportivo de la coruaa","2:04","cf","38","0:02","left-footed shot","Luis Suarez"
"17/18","liga","35","2018-04-29 00:00:00","a","barca","deportivo de la coruaa","2:04","cf","82","2:03","right-footed shot","Luis Suarez"
"17/18","liga","35","2018-04-29 00:00:00","a","barca","deportivo de la coruaa","2:04","cf","85","2:04","left-footed shot","Luis Suarez"
"17/18","liga","36","2018-06-05 00:00:00","h","barca","real madrid","2:02","ss","52","2:01","left-footed shot","Luis Suarez"
"17/18","liga","34","2018-09-05 00:00:00","h","barca","villarreal cf","5:01","cf","45","3:00","left-footed shot","Andres Iniesta"
"18/19","liga","1","2018-08-18 00:00:00","h","barca","deportivo alaves","3:00","rw","0","3:00","left-footed shot","Luis Suarez"
"18/19","liga","3","2018-02-09 00:00:00","h","barca","sd huesca","8:02","rw","16","1:01","right-footed shot","Ivan Rakitic"
"18/19","liga","3","2018-02-09 00:00:00","h","barca","sd huesca","8:02","rw","61","6:02","left-footed shot","Philippe Coutinho"
"18/19","uefa champions league","group stage","2018-09-18 00:00:00","h","barca","psv eindhoven","4:00","rw","77","3:00","left-footed shot","Ivan Rakitic"
"18/19","uefa champions league","group stage","2018-09-18 00:00:00","h","barca","psv eindhoven","4:00","rw","87","4:00","right-footed shot","Luis Suarez"
"18/19","liga","5","2018-09-23 00:00:00","h","barca","girona fc","2:02","rw","19","1:00","left-footed shot","Arturo Vidal"
"18/19","uefa champions league","group stage","2018-03-10 00:00:00","a","barca","tottenham hotspur","2:04","rw","56","1:03","left-footed shot","Jordi Alba"
"18/19","uefa champions league","group stage","2018-03-10 00:00:00","a","barca","tottenham hotspur","2:04","rw","90","2:04","left-footed shot","Jordi Alba"
"18/19","liga","8","2018-07-10 00:00:00","a","barca","valencia cf","1:01","rw","23","1:01","left-footed shot","Luis Suarez"
"18/19","liga","9","2018-10-20 00:00:00","h","barca","sevilla fc","4:02","rw","12","2:00","left-footed shot","Luis Suarez"
"18/19","liga","12","2018-11-11 00:00:00","h","barca","real betis balompie","3:04","ss","0","3:04","left-footed shot","Arturo Vidal"
"18/19","uefa champions league","group stage","2018-11-28 00:00:00","a","barca","psv eindhoven","1:02","cf","61","0:01","left-footed shot","Ousmane Dembele"
"18/19","liga","16","2018-12-16 00:00:00","a","barca","levante ud","0:05","ss","43","0:02","right-footed shot","Sergio Busquets"
"18/19","liga","16","2018-12-16 00:00:00","a","barca","levante ud","0:05","ss","60","0:04","left-footed shot","Arturo Vidal"
"18/19","liga","17","2018-12-22 00:00:00","h","barca","celta de vigo","2:00","rw","45","2:00","left-footed shot","Jordi Alba"
"18/19","liga","19","2019-01-13 00:00:00","h","barca","sd eibar","3:00","rw","53","2:00","left-footed shot","Luis Suarez"
"18/19","copa del rey","last 16","2019-01-17 00:00:00","h","barca","levante ud","3:00","cf","54","3:00","left-footed shot","Nelson Semedo"
"18/19","liga","20","2019-01-20 00:00:00","h","barca","cd leganes","3:01","ss","0","3:01","right-footed shot","Jordi Alba"
"18/19","liga","21","2019-01-27 00:00:00","a","barca","girona fc","0:02","rw","69","0:02","left-footed shot","Jordi Alba"
"18/19","copa del rey","quarter-finals","2019-01-30 00:00:00","h","barca","sevilla fc","6:01","rw","0","6:01","left-footed shot","Jordi Alba"
"18/19","liga","22","2019-02-02 00:00:00","h","barca","valencia cf","2:02","rw","64","2:02","left-footed shot","Arturo Vidal"
"18/19","liga","25","2019-02-23 00:00:00","a","barca","sevilla fc","2:04","rw","26","1:01","left-footed shot","Ivan Rakitic"
"18/19","liga","25","2019-02-23 00:00:00","a","barca","sevilla fc","2:04","rw","67","2:02","right-footed shot","Ousmane Dembele"
"18/19","uefa champions league","last 16","2019-03-13 00:00:00","h","barca","olympique lyon","5:01","rw","78","3:01","right-footed shot","Sergio Busquets"
"18/19","liga","28","2019-03-17 00:00:00","a","barca","real betis balompie","1:04","ss","0","0:02","left-footed shot","Luis Suarez"
"18/19","liga","28","2019-03-17 00:00:00","a","barca","real betis balompie","1:04","ss","85","1:04","left-footed shot","Ivan Rakitic"
"18/19","liga","29","2019-03-30 00:00:00","h","barca","rcd espanyol barcelona","2:00","rw","89","2:00","left-footed shot","Malcom"
"18/19","liga","35","2019-04-27 00:00:00","h","barca","levante ud","1:00","rw","62","1:00","left-footed shot","Arturo Vidal"
"18/19","uefa champions league","semi-finals","2019-01-05 00:00:00","h","barca","liverpool fc","3:00","rw","75","2:00","left-footed shot","Luis Suarez"
"18/19","liga","38","2019-05-19 00:00:00","a","barca","sd eibar","2:02","cf","31","1:01","left-footed shot","Arturo Vidal"
"18/19","liga","38","2019-05-19 00:00:00","a","barca","sd eibar","2:02","cf","32","1:02","left-footed shot","Ivan Rakitic"
"18/19","copa del rey","final","2019-05-25 00:00:00","h","barca","valencia cf","1:02","cf","73","1:02","left-footed shot","Clement Lenglet"
"19/20","liga","9","2019-10-19 00:00:00","a","barca","sd eibar","0:03","rw","58","0:02","left-footed shot","Antoine Griezmann"
"19/20","uefa champions league","group stage","2019-10-23 00:00:00","a","barca","sk slavia prague","1:02","rw","3","0:01","left-footed shot","Arthur"
"19/20","liga","11","2019-10-29 00:00:00","h","barca","real valladolid cf","5:01","rw","75","4:01","left-footed shot","Ivan Rakitic"
"19/20","uefa champions league","group stage","2019-11-27 00:00:00","h","barca","borussia dortmund","3:01","rw","33","2:00","left-footed shot","Luis Suarez"
"19/20","liga","15","2019-01-12 00:00:00","a","barca","atletico de madrid","0:01","rw","86","0:01","left-footed shot","Luis Suarez"
"19/20","liga","16","2019-07-12 00:00:00","h","barca","rcd mallorca","5:02","rw","17","2:00","left-footed shot","Antoine Griezmann"
"19/20","liga","16","2019-07-12 00:00:00","h","barca","rcd mallorca","5:02","rw","41","3:01","left-footed shot","Ivan Rakitic"
"19/20","liga","16","2019-07-12 00:00:00","h","barca","rcd mallorca","5:02","rw","83","5:02","left-footed shot","Luis Suarez"
"19/20","liga","18","2019-12-21 00:00:00","h","barca","deportivo alaves","4:01","rw","69","3:01","left-footed shot","Luis Suarez"
"19/20","supercopa","semi-finals","2020-09-01 00:00:00","h","barca","atletico de madrid","2:03","rw","51","1:01","right-footed shot","Luis Suarez"
"19/20","liga","20","2020-01-19 00:00:00","h","barca","granada cf","1:00","cf","76","1:00","right-footed shot","Arturo Vidal"
"19/20","copa del rey","round of 16","2020-01-30 00:00:00","h","barca","cd leganes","5:00","rw","59","3:00","left-footed shot","Frenkie de Jong"
"19/20","copa del rey","round of 16","2020-01-30 00:00:00","h","barca","cd leganes","5:00","rw","89","5:00","left-footed shot","Ivan Rakitic"
"19/20","liga","25","2020-02-22 00:00:00","h","barca","sd eibar","5:00","ss","14","1:00","left-footed shot","Ivan Rakitic"
"19/20","liga","25","2020-02-22 00:00:00","h","barca","sd eibar","5:00","ss","37","2:00","left-footed shot","Arturo Vidal"
"19/20","liga","28","2020-06-13 00:00:00","a","barca","rcd mallorca","0:04","rw","0","0:04","right-footed shot","Luis Suarez"
"19/20","liga","38","2020-07-19 00:00:00","a","barca","deportivo alaves","0:05","rw","34","0:02","left-footed shot","Riqui Puig"
"19/20","liga","38","2020-07-19 00:00:00","a","barca","deportivo alaves","0:05","rw","75","0:05","left-footed shot","Jordi Alba"
"20/21","liga","9","2020-07-11 00:00:00","h","barca","real betis balompie","5:02","cf","82","4:02","left-footed shot","Sergi Roberto"
"20/21","liga","11","2020-11-29 00:00:00","h","barca","ca osasuna","4:00","rw","73","4:00","left-footed shot","Francisco TrincÃ£o"
"20/21","liga","13","2020-12-13 00:00:00","h","barca","levante ud","1:00","cf","76","1:00","left-footed shot","Frenkie de Jong"
"20/21","liga","15","2020-12-22 00:00:00","a","barca","real valladolid cf","0:03","am","65","0:03","left-footed shot","Pedri"
"20/21","liga","2","2021-06-01 00:00:00","a","barca","athletic bilbao","2:03","cf","38","1:02","left-footed shot","Pedri"
"20/21","liga","2","2021-06-01 00:00:00","a","barca","athletic bilbao","2:03","cf","62","1:03","left-footed shot","Antoine Griezmann"
"20/21","liga","18","2021-09-01 00:00:00","a","barca","granada cf","0:04","cf","35","0:02","left-footed shot","Antoine Griezmann"
"20/21","copa del rey","round of 16","2021-01-27 00:00:00","a","barca","rayo vallecano","1:02","cf","69","1:01","left-footed shot","Antoine Griezmann"
"20/21","liga","22","2021-07-02 00:00:00","a","barca","real betis balompie","2:03","cf","59","1:01","left-footed shot","Ousmane Dembele"
"20/21","liga","23","2021-02-13 00:00:00","h","barca","deportivo alaves","5:01","cf","0","2:00","left-footed shot","Sergio Busquets"
"20/21","liga","23","2021-02-13 00:00:00","h","barca","deportivo alaves","5:01","cf","75","4:01","left-footed shot","Antoine Griezmann"
"20/21","liga","1","2021-02-24 00:00:00","h","barca","elche cf","3:00","cf","48","1:00","left-footed shot","Martin Braithwaite"
"20/21","liga","1","2021-02-24 00:00:00","h","barca","elche cf","3:00","cf","68","2:00","left-footed shot","Frenkie de Jong"
"20/21","liga","25","2021-02-27 00:00:00","a","barca","sevilla fc","0:02","cf","85","0:02","right-footed shot","Ilaix Moriba"
"20/21","uefa champions league","last 16","2021-10-03 00:00:00","a","barca","paris saint-germain","1:01","ss","37","1:01","long distance kick","Pedri"
"20/21","liga","27","2021-03-15 00:00:00","h","barca","sd huesca","4:01","ss","13","1:00","left-footed shot","Sergio Busquets"
"20/21","liga","27","2021-03-15 00:00:00","h","barca","sd huesca","4:01","ss","90","4:01","left-footed shot","Francisco TrincÃ£o"
"20/21","liga","28","2021-03-21 00:00:00","a","barca","real sociedad","1:06","ss","56","0:04","left-footed shot","Sergio Busquets"
"20/21","liga","28","2021-03-21 00:00:00","a","barca","real sociedad","1:06","ss","89","1:06","left-footed shot","Jordi Alba"
"20/21","copa del rey","final","2021-04-17 00:00:00","a","barca","athletic bilbao","0:04","cf","68","0:03","left-footed shot","Frenkie de Jong"
"20/21","copa del rey","final","2021-04-17 00:00:00","a","barca","athletic bilbao","0:04","cf","72","0:04","left-footed shot","Jordi Alba"
"20/21","liga","31","2021-04-22 00:00:00","h","barca","getafe cf","5:02","cf","8","1:00","left-footed shot","Sergio Busquets"
"20/21","liga","33","2021-04-29 00:00:00","h","barca","granada cf","1:02","cf","23","1:00","left-footed shot","Antoine Griezmann"
"20/21","liga","37","2021-05-16 00:00:00","h","barca","celta de vigo","1:02","ss","28","1:00","header","Sergio Busquets"
"21/22","uefa champions league","group stage","2021-09-28 00:00:00","h","paris saint-germain","manchester city","2:00","rw","74","2:00","left-footed shot","Kylian Mbappe"
"21/22","uefa champions league","group stage","2021-10-19 00:00:00","h","paris saint-germain","rb leipzig","3:02","rw","67","2:02","left-footed shot","Kylian Mbappe"
"21/22","ligue 1","14","2021-11-20 00:00:00","h","paris saint-germain","fc nantes","3:01","rw","87","3:01","left-footed shot","Kylian Mbappe"
"21/22","uefa champions league","group stage","2021-07-12 00:00:00","h","paris saint-germain","club brugge kv","4:01","cf","38","3:00","left-footed shot","Kylian Mbappe"
"21/22","ligue 1","30","2022-03-04 00:00:00","h","paris saint-germain","fc lorient","5:01","rw","73","4:01","left-footed shot","Kylian Mbappe"
"21/22","ligue 1","34","2022-04-23 00:00:00","h","paris saint-germain","rc lens","1:01","rw","68","1:00","left-footed shot","Neymar"
"21/22","ligue 1","37","2022-05-14 00:00:00","a","paris saint-germain","montpellier","0:04","cf","6","0:01","left-footed shot","Kylian Mbappé"
"21/22","ligue 1","37","2022-05-14 00:00:00","a","paris saint-germain","montpellier","0:04","cf","20","0:02","left-footed shot","Kylian Mbappé"
"21/22","ligue 1","1","2022-06-08 00:00:00","a","paris saint-germain","clermont foot","0:05","cf","80","0:04","left-footed shot","Neymar"
"21/22","ligue 1","1","2022-06-08 00:00:00","a","paris saint-germain","clermont foot","0:05","cf","86","0:05","left-footed shot","Leandro Paredes"
"22/23","ligue 1","1","2022-06-08 00:00:00","a","paris saint-germain","clermont foot","0:05","cf","80","0:04","left-footed shot","Neymar"
"22/23","ligue 1","1","2022-06-08 00:00:00","a","paris saint-germain","clermont foot","0:05","cf","86","0:05","left-footed shot","Leandro Paredes"
"22/23","ligue 1","3","2022-08-21 00:00:00","a","paris saint-germain","losc lille","1:07","am","27","0:02","right-footed shot","Nuno Mendes"
"22/23","ligue 1","8","2022-09-18 00:00:00","a","paris saint-germain","olympique lyon","0:01","am","5","0:01","left-footed shot","Neymar"
"22/23","uefa champions league","group stage","2022-05-10 00:00:00","a","paris saint-germain","sl benfica","1:1","am","22","0:1","left-footed shot","Neymar"
"22/23","ligue 1","12","2022-10-21 00:00:00","a","paris saint-germain","ac ajaccio","0:3","cf","78","0:2","left-footed shot","Kylian Mbappe"
"22/23","uefa champions league","group stage","2022-10-25 00:00:00","h","paris saint-germain","maccabi haifa","7:2","ss","19","1:0","left-footed shot","Kylian Mbappe"
"22/23","uefa champions league","group stage","2022-10-25 00:00:00","h","paris saint-germain","maccabi haifa","7:2","ss","44","4:1","left-footed shot","Kylian Mbappe"
"22/23","ligue 1","13","2022-10-29 00:00:00","h","paris saint-germain","estac troyes","4:3","rw","55","2:2","left-footed shot","Sergio Ramos"
"22/23","ligue 1","18","2023-11-01 00:00:00","h","paris saint-germain","angers sco","2:0","am","72","2:0","right-footed shot","Nordi Mukiele"
"22/23","ligue 1","21","2023-01-02 00:00:00","a","paris saint-germain","montpellier hsc","1:3","ss","72","0:2","left-footed shot","Fabián Ruiz"
"22/23","ligue 1","22","2023-04-02 00:00:00","h","paris saint-germain","fc toulouse","2:1","ss","58","2:1","left-footed shot","Achraf Hakimi"
"22/23","ligue 1","24","2023-02-19 00:00:00","h","paris saint-germain","losc lille","4:3","cf","0","4:3","direct free kick","	"
"22/23","ligue 1","25","2023-02-26 00:00:00","a","paris saint-germain","olympique marseille","0:3","cf","29","0:2","right-footed shot","Kylian Mbappé"
